fips5,total_ffs_providers,ffs_pcp_count,county_name_clean
06001,11786,2572,ALAMEDA
06003,7,0,ALPINE
06005,262,46,AMADOR
06007,1538,186,BUTTE
06009,146,25,CALAVERAS
06011,98,19,COLUSA
06013,7362,1670,CONTRA COSTA
06015,143,20,DEL NORTE
06017,828,136,EL DORADO
06019,6392,1181,FRESNO
06021,87,12,GLENN
06023,1103,206,HUMBOLDT
06025,783,119,IMPERIAL
06027,188,25,INYO
06029,4827,941,KERN
06031,663,103,KINGS
06033,329,53,LAKE
06035,121,35,LASSEN
06037,71441,15116,LOS ANGELES
06039,692,204,MADERA
06041,1733,355,MARIN
06043,85,6,MARIPOSA
06045,581,99,MENDOCINO
06047,1084,227,MERCED
06049,48,5,MODOC
06051,82,19,MONO
06053,2094,456,MONTEREY
06055,757,130,NAPA
06057,720,96,NEVADA
06059,20102,4179,ORANGE
06061,3440,697,PLACER
06063,83,8,PLUMAS
06065,12580,2149,RIVERSIDE
06067,14062,2640,SACRAMENTO
06069,175,26,SAN BENITO
06071,14525,3048,SAN BERNARDINO
06073,21693,4510,SAN DIEGO
06075,13945,2926,SAN FRANCISCO
06077,4339,938,SAN JOAQUIN
06079,1372,222,SAN LUIS OBISPO
06081,5140,1049,SAN MATEO
06083,2499,419,SANTA BARBARA
06085,19814,4079,SANTA CLARA
06087,2058,350,SANTA CRUZ
06089,1406,226,SHASTA
06091,15,1,SIERRA
06093,295,43,SISKIYOU
06095,3247,658,SOLANO
06097,3863,737,SONOMA
06099,4084,903,STANISLAUS
06101,640,102,SUTTER
06103,287,65,TEHAMA
06105,50,5,TRINITY
06107,2056,390,TULARE
06109,343,49,TUOLUMNE
06111,4757,882,VENTURA
06113,1102,273,YOLO
06115,315,41,YUBA
