fips5,pcp_supply,avg_population,pcp_per_100k
06001,2311,1662965.3333333333,138.96862151465976
06005,39,40031.0,97.42449601558792
06007,140,208081.66666666666,67.28127578114363
06009,16,44998.333333333336,35.55687247675839
06011,6,21919.833333333332,27.372470897741014
06013,1553,1158501.8333333333,134.05244215553682
06015,20,26941.333333333332,74.2353756310007
06017,134,190401.66666666666,70.37753521065117
06019,1113,1018416.0,109.28736390630155
06021,9,28890.666666666668,31.151929112054642
06023,141,134845.33333333334,104.56424150137441
06025,54,182300.83333333334,29.621367611228692
06027,16,18911.166666666668,84.60609692685978
06029,595,912881.3333333334,65.17824149469591
06031,78,152574.83333333334,51.122454664323186
06033,32,67545.16666666667,47.375706625936715
06035,13,29789.333333333332,43.639781577298365
06037,11727,9901719.0,118.43398100875211
06039,156,158807.66666666666,98.23203329814054
06041,407,257183.16666666666,158.2529701594
06043,8,17003.333333333332,47.04959811801608
06045,80,90390.33333333333,88.50503925567263
06047,132,286602.6666666667,46.056794074956265
06049,10,8567.666666666666,116.71789285297436
06051,13,13039.666666666666,99.69579999488741
06053,404,437577.3333333333,92.32653732825894
06055,154,136279.5,113.00305621902048
06057,109,101273.83333333333,107.6289860987455
06059,4280,3170512.5,134.99394813929925
06061,701,412357.6666666667,169.99805185304342
06063,16,19243.166666666668,83.14639828856997
06065,1956,2455188.5,79.6680173436785
06067,2132,1588098.5,134.24859981921776
06069,21,65563.0,32.03026097036438
06071,2103,2189133.0,96.06542864229812
06073,4483,3303035.8333333335,135.7236259673235
06075,2389,851222.6666666666,280.6551203993628
06077,649,790103.6666666666,82.14111987836195
06079,251,280124.3333333333,89.603069113358
06081,963,752037.8333333334,128.05206830241474
06083,462,444584.0,103.91736994583701
06085,3242,1917251.6666666667,169.09621498134047
06087,341,265504.0,128.43497649752922
06089,182,180809.5,100.65842779278744
06093,33,43646.166666666664,75.60801444953165
06095,501,449816.0,111.37887491774416
06097,649,483418.1666666667,134.25229847588818
06099,475,551945.6666666666,86.05919544013089
06101,75,99434.0,75.42691634652131
06103,37,65172.666666666664,56.77226649208768
06105,5,15976.333333333334,31.296292432556488
06107,316,478395.8333333333,66.05408700953708
06109,37,54709.5,67.62993629991135
06111,922,833986.5,110.55334828561374
06113,242,220405.5,109.79762301757442
06115,29,83099.83333333333,34.897783589618115
