ventile,mc_share_mean,pqi_mean,pqi_std,n,pqi_se
0,0.15063716724819376,187.66190476190476,44.09214763416721,6,18.000543894529027
1,0.18768159459740133,164.16309523809525,30.980658685461066,6,12.64780094578391
2,0.2177319878410214,183.62285714285713,35.9279747891386,5,16.067478784482518
3,0.23999723513145485,149.09285714285716,52.103960639146365,6,21.271352857327912
4,0.26029196874710914,201.37428571428572,20.93275896672923,5,9.361414401244964
5,0.31413375073927186,227.51428571428573,110.7919880327314,6,45.23063971145537
6,0.3478337847167565,252.8942857142857,79.16439276361977,5,35.403392723389246
7,0.3769408804338276,212.50595238095238,34.229891286461786,6,13.974294600461906
8,0.40014816549728305,257.11285714285714,52.54101784437041,5,23.49705750140834
9,0.4842385392380671,228.90595238095239,50.08710013905911,6,20.4479730060632
