event_time,year,coef,se,pval,ci_low,ci_high
-5,2012,28.707863267783182,12.116418382941324,0.017820068133260793,4.960119615599144,52.455606919967224
-4,2013,27.608205715569333,12.27995465976176,0.02456130318019322,3.539936850651472,51.676474580487195
-3,2014,10.206103285031539,9.177285691724155,0.2660931017734891,-7.781046146582561,28.193252716645638
-2,2015,27.026395198397445,7.26415971894794,0.0001988190996997605,12.788903771312881,41.26388662548201
-1,2016,-11.967296632271015,8.018129229938934,0.13556031706066451,-27.682541146339204,3.747947881797172
0,2017,0.0,0.0,,0.0,0.0
1,2018,5.857112211282029,8.78646181839872,0.5050235414763367,-11.364036504315777,23.078260926879835
2,2019,-3.989692180848163,8.851932757634652,0.6521955149313416,-21.339161579382402,13.359777217686077
3,2020,-19.780125943489203,9.951260324460701,0.04684481447340844,-39.28423778021455,-0.2760141067638564
4,2021,-11.475217685129255,9.90848290534842,0.2468148443439495,-30.895487321042953,7.945051950784443
5,2022,-17.607590362707256,8.53339390075122,0.03907702751472983,-34.33273507407341,-0.8824456513411008
